life_at_0_0,life_at_0_1,life_at_0_2,life_at_0_3,life_at_0_4,life_at_1_0,life_at_1_1,life_at_1_2,life_at_1_3,life_at_1_4,life_at_2_0,life_at_2_1,life_at_2_2,life_at_2_3,life_at_2_4,life_at_3_0,life_at_3_1,life_at_3_2,life_at_3_3,life_at_3_4,life_at_4_0,life_at_4_1,life_at_4_2,life_at_4_3,life_at_4_4,num_alive,ideal_neighbors_heuristic,max_neighbors_heuristic,min_neighbors_heuristic,life_span_class
False,True,False,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,False,True,False,True,False,False,True,16,12,94,0.010638297872340425,2
False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,True,False,7,11,44,0.022727272727272728,0
True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,True,True,True,True,18,6,105,0.009523809523809525,0
True,True,True,False,True,True,False,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,False,18,12,99,0.010101010101010102,0
False,True,False,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,6,9,39,0.02564102564102564,0
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,3,4,16,0.0625,0
False,False,False,True,False,True,False,False,True,True,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,9,17,47,0.02127659574468085,2
False,True,False,True,True,False,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,11,10,65,0.015384615384615385,0
False,True,False,True,True,True,True,True,False,True,True,False,False,False,True,True,False,True,False,True,True,False,True,False,False,14,12,75,0.013333333333333334,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,19,6,112,0.008928571428571428,0
False,True,True,False,True,False,False,False,True,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,10,7,60,0.016666666666666666,2
True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,22,5,123,0.008130081300813009,0
True,False,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,18,9,100,0.01,0
