life_at_0_0,life_at_0_1,life_at_0_2,life_at_0_3,life_at_0_4,life_at_1_0,life_at_1_1,life_at_1_2,life_at_1_3,life_at_1_4,life_at_2_0,life_at_2_1,life_at_2_2,life_at_2_3,life_at_2_4,life_at_3_0,life_at_3_1,life_at_3_2,life_at_3_3,life_at_3_4,life_at_4_0,life_at_4_1,life_at_4_2,life_at_4_3,life_at_4_4,num_alive,ideal_neighbors_heuristic,max_neighbors_heuristic,min_neighbors_heuristic,is_infinite
False,True,False,False,True,True,False,True,True,True,False,False,True,False,False,False,False,True,True,False,True,False,True,False,False,11,12,66,0.015151515151515152,False
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,24,4,136,0.007352941176470588,False
True,False,True,False,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,True,False,True,16,8,100,0.01,False
True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,16,9,94,0.010638297872340425,False
False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,6,9,42,0.023809523809523808,False
False,True,True,True,True,False,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,18,9,99,0.010101010101010102,False
False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,False,18,6,107,0.009345794392523364,False
True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5,8,32,0.03125,False
True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,20,7,116,0.008620689655172414,False
True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,True,True,True,True,False,False,True,True,True,True,16,8,91,0.01098901098901099,True
True,False,True,True,True,True,False,False,False,True,False,True,True,True,False,False,True,True,True,False,False,True,True,False,True,15,11,87,0.011494252873563218,False
False,False,False,False,True,True,False,False,True,True,True,False,True,False,True,True,False,True,True,False,False,True,False,True,False,12,14,70,0.014285714285714285,True
True,False,True,True,True,False,True,False,False,True,False,True,False,True,True,True,False,False,True,True,True,False,False,False,False,13,16,71,0.014084507042253521,False
True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,True,False,12,10,76,0.013157894736842105,False
False,True,False,False,True,True,False,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,True,False,False,14,14,86,0.011627906976744186,False
True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,21,7,122,0.00819672131147541,False
False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,8,13,50,0.02,False
True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,23,5,131,0.007633587786259542,False
False,True,False,True,False,True,True,False,True,True,True,True,False,True,True,False,True,False,True,True,False,True,False,True,True,16,8,96,0.010416666666666666,False
False,True,False,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,18,9,115,0.008695652173913044,True
True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,23,4,134,0.007462686567164179,False
True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,4,13,0.07692307692307693,False
False,True,True,True,True,False,True,True,True,False,True,False,True,False,True,False,True,True,True,True,False,True,True,False,True,17,11,102,0.00980392156862745,False
False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,5,11,34,0.029411764705882353,False
